Municipality_code;Oral_Health_Strategy_coverage;Primary_health_coverage_for_poor_residents_.last.year.;Vaccination_coverage_...;Low_birth_weight_...;Hospital_beds_per_10.000_residents;Family_Health_Strategy_teams_per_10.000_residents;Ultrasound_machines._per_10.000_live_births;cesarean_deliveries;Xray_machines_per_10.000_residents;Life_support_equipment_per_10.000_residents;Mammographies_per_100_women
1501782;13.22;17.24;74.38;7.15;4.6;0.8;11.5;34.95;0;1.3;0
1501808;10.24;14.84;90.24;7.66;8.6;0.8;5.2;16.26;0.3;0.6;0
1501907;0;50.73;80.9;6.76;10.9;0.8;38.6;35.71;0.8;0.8;2
1501956;0;47.93;64.31;5.61;0;1.1;0;32.67;0;0;0
1502004;16.9;14.7;72.23;8.56;8.3;0;0;17.51;0.5;0.5;0
1502103;14.73;30.74;79.53;8.89;12.6;0.9;26.3;33.58;0.6;0.7;0
1502152;74.8;65.04;74.58;6.19;9.7;2.2;14.7;55.46;0.7;1.5;0
1502202;42.84;74.5;81.79;6.29;52;2.4;68;52.85;1.3;2.5;0
1502301;19.6;22.73;86.45;5.6;27;0.6;37.4;50.81;0.4;2.3;0
1502400;44.86;87.31;78.8;5.99;18.5;2.4;23.5;75.05;0.6;1.7;9
1502509;16.82;14.63;54.72;6.04;4.3;0;0;8.68;0;0;0
1502608;90.53;100;108.83;7.93;0;3.5;61;34.15;0;0;0
1502707;58.43;63.51;75.39;6.15;28.8;2.2;36.9;45.26;1.1;3.1;5
1502756;62.02;53.93;89.89;6.73;5.3;1.8;0;30.82;0.4;0;0
1502764;29.02;100;99.22;5.34;10.5;2.9;76.3;29.77;1;1.9;5
1502772;76.91;100;77.2;4.69;27.3;4.4;62.5;27.81;0.5;3.8;0
1502806;0;10.89;111.18;9.07;8.1;0.7;18.1;17.24;0.7;1.1;0
1502855;0;23.11;90.68;4.08;0;0.8;40.8;8.16;0;0;0
1502905;56.33;81.64;92.58;10.24;7.9;3.2;19.7;39.17;0.3;0;1
1502939;61.78;53.72;87.64;5.79;23.2;1.4;37.7;37.61;1.9;2.3;1
1502954;35.38;51.28;104.72;6.61;23.6;1.6;31.5;18.27;0.6;0.6;0
1503002;0;0;125.01;6.67;12.2;0;66.7;22.67;1.2;2.4;0
1503044;66.22;76.78;77.28;11.96;9.6;1.7;33.2;51.83;1.1;0.6;3
1503077;27.02;23.49;93.73;6.31;0;0.8;0;45.17;0;0;0
1503093;23.66;30.86;79.54;8.09;17.4;1;14.7;26.32;0.3;1.6;0
1503101;0;23.52;86.28;7.36;7.9;0.7;15.6;19.72;0.7;1.4;0
1503200;58.74;59.59;91.22;7.1;10;2;33;57.1;0.6;1.1;2
1503309;24.21;42.1;81.5;8.55;28.1;1.4;15.4;48.11;0.2;0.3;2
