 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2015 - Brasil;;;
População residente por Município e Sexo;;;
Período:2015;;;
Município;Masculino;Feminino;Total
412300 Salto do Lontra;7422;7115;14537
412310 Santa Amélia;1808;1878;3686
412320 Santa Cecília do Pavão;1771;1825;3596
412330 Santa Cruz de Monte Castelo;4097;4070;8167
412340 Santa Fé;5639;5792;11431
412350 Santa Helena;12516;12899;25415
412360 Santa Inês;924;841;1765
412370 Santa Isabel do Ivaí;4514;4383;8897
412380 Santa Izabel do Oeste;7165;7000;14165
412382 Santa Lúcia;1995;1978;3973
412385 Santa Maria do Oeste;5765;5243;11008
412390 Santa Mariana;6240;6192;12432
412395 Santa Mônica;2005;1844;3849
412402 Santa Tereza do Oeste;5525;4981;10506
412405 Santa Terezinha de Itaipu;11065;11506;22571
412400 Santana do Itararé;2651;2618;5269
412410 Santo Antônio da Platina;22368;22925;45293
412420 Santo Antônio do Caiuá;1404;1352;2756
412430 Santo Antônio do Paraíso;1126;1208;2334
412440 Santo Antônio do Sudoeste;9810;10151;19961
412450 Santo Inácio;2806;2675;5481
412460 São Carlos do Ivaí;3502;3256;6758
412470 São Jerônimo da Serra;6012;5543;11555
412480 São João;5282;5428;10710
412490 São João do Caiuá;2968;3069;6037
412500 São João do Ivaí;5623;5605;11228
412510 São João do Triunfo;7695;7004;14699
412520 São Jorge d'Oeste;4744;4559;9303
412530 São Jorge do Ivaí;2800;2874;5674
412535 São Jorge do Patrocínio;3033;2979;6012
412540 São José da Boa Vista;3422;3116;6538
412545 São José das Palmeiras;1963;1881;3844
412550 São José dos Pinhais;147585;150314;297899
412555 São Manoel do Paraná;1086;1100;2186
412560 São Mateus do Sul;22613;21981;44594
412570 São Miguel do Iguaçu;13624;13573;27197
412575 São Pedro do Iguaçu;3231;3154;6385
412580 São Pedro do Ivaí;5472;5326;10798
412590 São Pedro do Paraná;1267;1207;2474
412600 São Sebastião da Amoreira;4453;4497;8950
412610 São Tomé;2870;2788;5658
412620 Sapopema;3583;3326;6909
412625 Sarandi;44638;45741;90379
412627 Saudade do Iguaçu;2706;2664;5370
412630 Sengés;9986;9318;19304
412635 Serranópolis do Iguaçu;2240;2413;4653
412640 Sertaneja;2927;2797;5724
412650 Sertanópolis;8175;8202;16377
412660 Siqueira Campos;10200;9893;20093
412665 Sulina;1667;1624;3291
412667 Tamarana;7073;6661;13734
412670 Tamboara;2488;2499;4987
412680 Tapejara;7911;7788;15699
412690 Tapira;2982;2870;5852
412700 Teixeira Soares;6050;5447;11497
412710 Telêmaco Borba;37701;38107;75808
412720 Terra Boa;8390;8392;16782
412730 Terra Rica;8292;8031;16323
412740 Terra Roxa;8728;8790;17518
412750 Tibagi;10284;10093;20377
412760 Tijucas do Sul;8312;7656;15968
412770 Toledo;64881;67199;132080
412780 Tomazina;4526;4091;8617
412785 Três Barras do Paraná;6281;5947;12228
412788 Tunas do Paraná;3954;3606;7560
412790 Tuneiras do Oeste;4542;4322;8864
412795 Tupãssi;4212;4049;8261
412796 Turvo;6938;6851;13789
412800 Ubiratã;10726;11141;21867
412810 Umuarama;52698;55522;108220
412820 União da Vitória;27836;28427;56263
412830 Uniflor;1304;1296;2600
412840 Uraí;5812;5886;11698
412853 Ventania;5774;5322;11096
412855 Vera Cruz do Oeste;4457;4543;9000
412860 Verê;3898;3902;7800
412865 Virmond;2074;2011;4085
412870 Vitorino;3388;3441;6829
412850 Wenceslau Braz;9746;10097;19843
412880 Xambrê;2995;3021;6016
420005 Abdon Batista;1369;1259;2628
420010 Abelardo Luz;8892;8825;17717
420020 Agrolândia;5247;5026;10273
420030 Agronômica;2741;2565;5306
420040 Água Doce;3718;3415;7133
420050 Águas de Chapecó;3299;3081;6380
420055 Águas Frias;1298;1109;2407
420060 Águas Mornas;3117;2997;6114
420070 Alfredo Wagner;5046;4802;9848
420075 Alto Bela Vista;1018;966;1984
420080 Anchieta;3090;2896;5986
420090 Angelina;2708;2345;5053
420100 Anita Garibaldi;4040;3839;7879
420110 Anitápolis;1701;1552;3253
420120 Antônio Carlos;4087;4031;8118
420125 Apiúna;5281;5040;10321
420127 Arabutã;2199;2074;4273
420130 Araquari;16687;15768;32455
420140 Araranguá;32526;33241;65767
420150 Armazém;4269;4072;8341
420160 Arroio Trinta;1783;1777;3560
420165 Arvoredo;1265;1006;2271
420170 Ascurra;3906;3877;7783
420180 Atalanta;1662;1615;3277
420190 Aurora;2885;2787;5672
420195 Balneário Arroio do Silva;5865;5756;11621
420205 Balneário Barra do Sul;4862;4969;9831
420200 Balneário Camboriú;61806;66346;128152
420207 Balneário Gaivota;4949;4893;9842
421280 Balneário Piçarras;10310;10307;20617
422000 Balneário Rincão;6128;5887;12015
420208 Bandeirante;1503;1308;2811
420209 Barra Bonita;949;844;1793
420210 Barra Velha;13219;13153;26372
420213 Bela Vista do Toldo;3267;2982;6249
420215 Belmonte;1405;1293;2698
420220 Benedito Novo;5737;5430;11167
420230 Biguaçu;31980;32507;64487
420240 Blumenau;168385;170492;338877
420243 Bocaina do Sul;1787;1633;3420
420250 Bom Jardim da Serra;2438;2193;4631
420253 Bom Jesus;1398;1421;2819
420257 Bom Jesus do Oeste;1078;1078;2156
420260 Bom Retiro;4913;4686;9599
420245 Bombinhas;8783;8695;17478
420270 Botuverá;2533;2412;4945
420280 Braço do Norte;15971;15796;31767
420285 Braço do Trombudo;1919;1733;3652
420287 Brunópolis;1366;1273;2639
420290 Brusque;62007;60770;122777
420300 Caçador;37845;37967;75812
420310 Caibi;3195;3050;6245
420315 Calmon;1790;1607;3397
420320 Camboriú;37676;36759;74435
420330 Campo Alegre;6109;5882;11991
420340 Campo Belo do Sul;3772;3527;7299
420350 Campo Erê;4528;4466;8994
420360 Campos Novos;17531;17522;35053
420370 Canelinha;5926;5691;11617
420380 Canoinhas;26922;27268;54190
420325 Capão Alto;1399;1253;2652
420390 Capinzal;11007;11119;22126
420395 Capivari de Baixo;11581;12081;23662
420400 Catanduvas;5211;5161;10372
420410 Caxambu do Sul;2032;1996;4028
420415 Celso Ramos;1402;1369;2771
420417 Cerro Negro;1778;1587;3365
420419 Chapadão do Lageado;1521;1394;2915
420420 Chapecó;102883;102915;205798
420425 Cocal do Sul;8126;8030;16156
420430 Concórdia;36041;36603;72644
420435 Cordilheira Alta;2188;1999;4187
420440 Coronel Freitas;5209;4995;10204
420445 Coronel Martins;1316;1218;2534
420455 Correia Pinto;6894;6932;13826
420450 Corupá;7694;7440;15134
420460 Criciúma;103030;103889;206919
420470 Cunha Porã;5489;5490;10979
420475 Cunhataí;1046;896;1942
420480 Curitibanos;19474;19754;39228
420490 Descanso;4330;4171;8501
420500 Dionísio Cerqueira;7718;7620;15338
420510 Dona Emma;2102;1896;3998
420515 Doutor Pedrinho;1945;1990;3935
420517 Entre Rios;1632;1514;3146
420519 Ermo;1069;1011;2080
420520 Erval Velho;2250;2216;4466
420530 Faxinal dos Guedes;5422;5346;10768
420535 Flor do Sertão;830;770;1600
420540 Florianópolis;229218;240472;469690
420543 Formosa do Sul;1344;1231;2575
420545 Forquilhinha;12685;12441;25126
420550 Fraiburgo;17957;17987;35944
420555 Frei Rogério;1186;1063;2249
420560 Galvão;1579;1639;3218
420570 Garopaba;10603;10460;21063
420580 Garuva;8638;8146;16784
420590 Gaspar;32544;32478;65022
420600 Governador Celso Ramos;7123;6822;13945
420610 Grão Pará;3402;3078;6480
420620 Gravatal;5657;5577;11234
420630 Guabiruba;11075;10537;21612
420640 Guaraciaba;5282;5090;10372
420650 Guaramirim;20909;19967;40876
420660 Guarujá do Sul;2509;2589;5098
420665 Guatambú;2550;2191;4741
420670 Herval d'Oeste;11146;11060;22206
420675 Ibiam;1011;961;1972
420680 Ibicaré;1774;1537;3311
420690 Ibirama;9273;9140;18413
420700 Içara;26535;26613;53148
420710 Ilhota;6898;6596;13494
420720 Imaruí;5520;5416;10936
420730 Imbituba;21633;21536;43169
420740 Imbuia;3069;2970;6039
420750 Indaial;32254;31234;63488
420757 Iomerê;1482;1401;2883
420760 Ipira;2306;2331;4637
420765 Iporã do Oeste;4517;4307;8824
420768 Ipuaçu;3795;3468;7263
420770 Ipumirim;3841;3656;7497
420775 Iraceminha;2115;2020;4135
420780 Irani;5208;4908;10116
420785 Irati;1011;1015;2026
420790 Irineópolis;5698;5294;10992
420800 Itá;3172;3177;6349
420810 Itaiópolis;11130;10132;21262
420820 Itajaí;102245;103026;205271
420830 Itapema;28109;28980;57089
420840 Itapiranga;8463;7933;16396
420845 Itapoá;9070;9062;18132
420850 Ituporanga;12200;11859;24059
420860 Jaborá;2026;2000;4026
420870 Jacinto Machado;5344;5266;10610
420880 Jaguaruna;9578;9403;18981
420890 Jaraguá do Sul;82792;80940;163732
420895 Jardinópolis;876;799;1675
420900 Joaçaba;14138;14866;29004
420910 Joinville;282222;279931;562153
420915 José Boiteux;2503;2357;4860
420917 Jupiá;1110;1032;2142
420920 Lacerdópolis;1115;1133;2248
420930 Lages;77851;80878;158729
420940 Laguna;21957;22696;44653
420945 Lajeado Grande;758;709;1467
420950 Laurentino;3330;3268;6598
420960 Lauro Muller;7542;7453;14995
420970 Lebon Régis;6301;5805;12106
420980 Leoberto Leal;1673;1545;3218
420985 Lindóia do Sul;2410;2236;4646
420990 Lontras;5788;5603;11391
421000 Luiz Alves;6176;5730;11906
421003 Luzerna;2798;2906;5704
421005 Macieira;948;867;1815
421010 Mafra;27676;27636;55312
421020 Major Gercino;1755;1651;3406
421030 Major Vieira;4017;3880;7897
421040 Maracajá;3539;3419;6958
421050 Maravilha;12198;12145;24343
421055 Marema;1027;972;1999
421060 Massaranduba;8292;7734;16026
421070 Matos Costa;1420;1267;2687
421080 Meleiro;3507;3560;7067
421085 Mirim Doce;1243;1181;2424
421090 Modelo;2183;1985;4168
421100 Mondaí;6171;5019;11190
421105 Monte Carlo;5012;4681;9693
421110 Monte Castelo;4403;4070;8473
421120 Morro da Fumaça;8735;8481;17216
421125 Morro Grande;1552;1367;2919
421130 Navegantes;36489;36285;72774
421140 Nova Erechim;2476;2253;4729
421145 Nova Itaberaba;2260;2079;4339
421150 Nova Trento;6936;6681;13617
421160 Nova Veneza;7385;7083;14468
421165 Novo Horizonte;1400;1206;2606
421170 Orleans;11222;11224;22446
421175 Otacílio Costa;9176;8657;17833
421180 Ouro;3721;3680;7401
421185 Ouro Verde;1138;1127;2265
421187 Paial;869;768;1637
421189 Painel;1244;1136;2380
421190 Palhoça;79377;78454;157831
421200 Palma Sola;3945;3706;7651
421205 Palmeira;1314;1219;2533
421210 Palmitos;8262;7996;16258
421220 Papanduva;9716;9076;18792
421223 Paraíso;1951;1811;3762
421225 Passo de Torres;4060;3855;7915
421227 Passos Maia;2152;2163;4315
421230 Paulo Lopes;3709;3490;7199
421240 Pedras Grandes;2140;1926;4066
421250 Penha;14872;14619;29491
421260 Peritiba;1473;1429;2902
421265 Pescaria Brava;4968;4868;9836
421270 Petrolândia;3167;2914;6081
421290 Pinhalzinho;9437;9263;18700
421300 Pinheiro Preto;1792;1606;3398
421310 Piratuba;2021;2297;4318
421315 Planalto Alegre;1479;1323;2802
421320 Pomerode;15817;15367;31184
421330 Ponte Alta;2444;2383;4827
421335 Ponte Alta do Norte;1722;1675;3397
421340 Ponte Serrada;5829;5625;11454
421350 Porto Belo;9592;9598;19190
421360 Porto União;17464;17421;34885
421370 Pouso Redondo;8327;8094;16421
421380 Praia Grande;3746;3626;7372
421390 Presidente Castello Branco;830;821;1651
421400 Presidente Getúlio;8257;8219;16476
421410 Presidente Nereu;1204;1105;2309
421415 Princesa;1530;1349;2879
421420 Quilombo;5165;4978;10143
421430 Rancho Queimado;1455;1400;2855
421440 Rio das Antas;3268;2974;6242
421450 Rio do Campo;3180;2931;6111
421460 Rio do Oeste;3747;3641;7388
421480 Rio do Sul;33422;33814;67236
421470 Rio dos Cedros;5760;5400;11160
421490 Rio Fortuna;2424;2162;4586
421500 Rio Negrinho;21083;20516;41599
421505 Rio Rufino;1277;1203;2480
421507 Riqueza;2493;2247;4740
421510 Rodeio;5804;5575;11379
421520 Romelândia;2669;2546;5215
421530 Salete;3893;3704;7597
421535 Saltinho;2043;1851;3894
421540 Salto Veloso;2320;2256;4576
421545 Sangão;6102;5665;11767
421550 Santa Cecília;8278;8228;16506
421555 Santa Helena;1205;1104;2309
421560 Santa Rosa de Lima;1147;983;2130
421565 Santa Rosa do Sul;4226;4081;8307
421567 Santa Terezinha;4812;4054;8866
421568 Santa Terezinha do Progresso;1382;1284;2666
421569 Santiago do Sul;685;680;1365
421570 Santo Amaro da Imperatriz;11076;10845;21921
421580 São Bento do Sul;40695;40238;80933
421575 São Bernardino;1364;1179;2543
421590 São Bonifácio;1512;1427;2939
421600 São Carlos;5572;5374;10946
421605 São Cristovão do Sul;3161;2200;5361
421610 São Domingos;4863;4653;9516
421620 São Francisco do Sul;24394;24211;48605
421630 São João Batista;16770;15950;32720
421635 São João do Itaperiú;1914;1721;3635
421625 São João do Oeste;3304;2957;6261
421640 São João do Sul;3617;3607;7224
421650 São Joaquim;13328;12918;26246
421660 São José;113373;118939;232312
421670 São José do Cedro;7114;6789;13903
421680 São José do Cerrito;4652;4170;8822
421690 São Lourenço do Oeste;11634;11611;23245
421700 São Ludgero;6481;5961;12442
421710 São Martinho;1671;1553;3224
421715 São Miguel da Boa Vista;959;916;1875
421720 São Miguel do Oeste;19143;19845;38988
421725 São Pedro de Alcântara;3724;1646;5370
421730 Saudades;4926;4597;9523
421740 Schroeder;9707;9117;18824
421750 Seara;8883;8554;17437
421755 Serra Alta;1654;1654;3308
421760 Siderópolis;6876;6810;13686
421770 Sombrio;14215;14748;28963
421775 Sul Brasil;1374;1248;2622
421780 Taió;9162;8896;18058
421790 Tangará;4611;4144;8755
421795 Tigrinhos;884;836;1720
421800 Tijucas;17909;17488;35397
421810 Timbé do Sul;2745;2637;5382
421820 Timbó;20772;20511;41283
421825 Timbó Grande;3894;3740;7634
421830 Três Barras;9566;9375;18941
421835 Treviso;1929;1854;3783
421840 Treze de Maio;3543;3524;7067
421850 Treze Tílias;3637;3599;7236
421860 Trombudo Central;3544;3516;7060
421870 Tubarão;50572;52308;102880
421875 Tunápolis;2351;2277;4628
421880 Turvo;6247;6304;12551
421885 União do Oeste;1375;1324;2699
421890 Urubici;5717;5387;11104
421895 Urupema;1292;1209;2501
421900 Urussanga;10441;10560;21001
421910 Vargeão;1834;1757;3591
421915 Vargem;1362;1266;2628
421917 Vargem Bonita;2413;2264;4677
421920 Vidal Ramos;3331;3035;6366
421930 Videira;25337;25593;50930
421935 Vitor Meireles;2763;2362;5125
421940 Witmarsum;1966;1877;3843
421950 Xanxerê;23970;24400;48370
421960 Xavantina;2123;1940;4063
421970 Xaxim;13890;13740;27630
421985 Zortéa;1689;1537;3226
430003 Aceguá;2476;2230;4706
430005 Água Santa;1920;1921;3841
430010 Agudo;8550;8570;17120
430020 Ajuricaba;3687;3701;7388
430030 Alecrim;3427;3435;6862
430040 Alegrete;38520;39981;78501
430045 Alegria;2078;2057;4135
430047 Almirante Tamandaré do Sul;1053;1039;2092
430050 Alpestre;3910;3733;7643
430055 Alto Alegre;938;894;1832
430057 Alto Feliz;1557;1472;3029
430060 Alvorada;100745;105817;206562
430063 Amaral Ferrador;3540;3236;6776
430064 Ametista do Sul;3846;3722;7568
430066 André da Rocha;657;635;1292
430070 Anta Gorda;3134;3091;6225
430080 Antônio Prado;6695;6588;13283
430085 Arambaré;1886;1874;3760
430087 Araricá;2695;2607;5302
430090 Aratiba;3394;3247;6641
430100 Arroio do Meio;10087;9959;20046
430107 Arroio do Padre;1571;1313;2884
430105 Arroio do Sal;4400;4389;8789
430120 Arroio do Tigre;6862;6453;13315
430110 Arroio dos Ratos;6908;7289;14197
430130 Arroio Grande;9420;9530;18950
430140 Arvorezinha;5334;5261;10595
430150 Augusto Pestana;3528;3618;7146
430155 Áurea;1839;1890;3729
430160 Bagé;58987;62756;121743
430163 Balneário Pinhal;5987;6317;12304
430165 Barão;3064;2996;6060
430170 Barão de Cotegipe;3428;3329;6757
430175 Barão do Triunfo;3968;3417;7385
430185 Barra do Guarita;1642;1591;3233
430187 Barra do Quaraí;2278;1923;4201
430190 Barra do Ribeiro;6692;6572;13264
430192 Barra do Rio Azul;1011;943;1954
430195 Barra Funda;1257;1240;2497
430180 Barracão;2785;2699;5484
430200 Barros Cassal;5980;5503;11483
430205 Benjamin Constant do Sul;1185;1084;2269
430210 Bento Gonçalves;55932;57355;113287
430215 Boa Vista das Missões;1095;1076;2171
430220 Boa Vista do Buricá;3439;3373;6812
430222 Boa Vista do Cadeado;1295;1229;2524
430223 Boa Vista do Incra;1300;1259;2559
430225 Boa Vista do Sul;1548;1314;2862
430230 Bom Jesus;5869;5931;11800
430235 Bom Princípio;6636;6296;12932
430237 Bom Progresso;1118;1142;2260
430240 Bom Retiro do Sul;5991;6118;12109
430245 Boqueirão do Leão;4058;3855;7913
430250 Bossoroca;3534;3335;6869
430258 Bozano;1120;1116;2236
430260 Braga;1880;1809;3689
430265 Brochier;2583;2372;4955
430270 Butiá;10481;10711;21192
430280 Caçapava do Sul;16930;17724;34654
430290 Cacequi;6955;6733;13688
430300 Cachoeira do Sul;41610;44101;85711
430310 Cachoeirinha;61317;64654;125971
430320 Cacique Doble;2560;2521;5081
430330 Caibaté;2614;2447;5061
430340 Caiçara;2611;2498;5109
430350 Camaquã;32670;33162;65832
430355 Camargo;1359;1361;2720
430360 Cambará do Sul;3456;3241;6697
430367 Campestre da Serra;1756;1636;3392
430370 Campina das Missões;3028;3038;6066
430380 Campinas do Sul;2747;2901;5648
430390 Campo Bom;31798;32369;64167
430400 Campo Novo;2615;2662;5277
430410 Campos Borges;1745;1792;3537
430420 Candelária;15467;16008;31475
430430 Cândido Godói;3412;3193;6605
430435 Candiota;4753;4562;9315
430440 Canela;20892;21518;42410
430450 Canguçu;28243;27560;55803
430460 Canoas;165336;176006;341342
430461 Canudos do Vale;996;834;1830
430462 Capão Bonito do Sul;988;779;1767
430463 Capão da Canoa;23347;23801;47148
430465 Capão do Cipó;1779;1607;3386
430466 Capão do Leão;12488;12896;25384
430468 Capela de Santana;5699;5591;11290
430469 Capitão;1376;1375;2751
430467 Capivari do Sul;2159;2116;4275
430471 Caraá;4056;3809;7865
430470 Carazinho;29834;32203;62037
430480 Carlos Barbosa;13963;13602;27565
430485 Carlos Gomes;825;749;1574
430490 Casca;4413;4627;9040
430495 Caseiros;1600;1564;3164
430500 Catuípe;4627;4774;9401
430510 Caxias do Sul;235786;239066;474852
430511 Centenário;1586;1441;3027
430512 Cerrito;3311;3172;6483
430513 Cerro Branco;2333;2332;4665
430515 Cerro Grande;1235;1216;2451
430517 Cerro Grande do Sul;5860;5407;11267
430520 Cerro Largo;7122;6850;13972
430530 Chapada;4758;4854;9612
430535 Charqueadas;21449;16834;38283
430537 Charrua;1754;1750;3504
430540 Chiapetta;1957;2107;4064
430543 Chuí;3151;3216;6367
430544 Chuvisca;2793;2473;5266
430545 Cidreira;7014;7286;14300
430550 Ciríaco;2557;2443;5000
430558 Colinas;1266;1234;2500
430560 Colorado;1715;1810;3525
430570 Condor;3377;3444;6821
430580 Constantina;4908;5187;10095
430583 Coqueiro Baixo;816;747;1563
430585 Coqueiros do Sul;1270;1208;2478
430587 Coronel Barros;1272;1277;2549
430590 Coronel Bicaco;3859;3968;7827
430593 Coronel Pilar;918;820;1738
430595 Cotiporã;2123;1887;4010
430597 Coxilha;1403;1484;2887
430600 Crissiumal;7067;7206;14273
430605 Cristal;4031;3720;7751
430607 Cristal do Sul;1471;1445;2916
430610 Cruz Alta;30499;33279;63778
430613 Cruzaltense;1076;1017;2093
430620 Cruzeiro do Sul;6144;6025;12169
430630 David Canabarro;2538;2304;4842
430632 Derrubadas;1563;1583;3146
430635 Dezesseis de Novembro;1444;1353;2797
430637 Dilermando de Aguiar;1620;1515;3135
430640 Dois Irmãos;14988;15189;30177
430642 Dois Irmãos das Missões;1101;1068;2169
430645 Dois Lajeados;1731;1686;3417
430650 Dom Feliciano;7884;7280;15164
430660 Dom Pedrito;19907;19979;39886
430655 Dom Pedro de Alcântara;1389;1232;2621
430670 Dona Francisca;1689;1682;3371
430673 Doutor Maurício Cardoso;2629;2572;5201
430675 Doutor Ricardo;1045;1033;2078
430676 Eldorado do Sul;18862;18931;37793
430680 Encantado;10663;11222;21885
430690 Encruzilhada do Sul;13009;12716;25725
430692 Engenho Velho;694;700;1394
430695 Entre Rios do Sul;1589;1483;3072
430693 Entre-Ijuís;4508;4532;9040
430697 Erebango;1551;1511;3062
430700 Erechim;49947;52395;102342
430705 Ernestina;1654;1554;3208
430720 Erval Grande;2662;2547;5209
430730 Erval Seco;3901;3875;7776
430740 Esmeralda;1640;1664;3304
430745 Esperança do Sul;1619;1628;3247
430750 Espumoso;7887;7921;15808
430755 Estação;3055;3114;6169
430760 Estância Velha;23089;23356;46445
430770 Esteio;40888;43093;83981
430780 Estrela;16373;16374;32747
430781 Estrela Velha;1911;1833;3744
430783 Eugênio de Castro;1406;1334;2740
430786 Fagundes Varela;1361;1346;2707
430790 Farroupilha;33959;34604;68563
430800 Faxinal do Soturno;3354;3518;6872
430805 Faxinalzinho;1293;1261;2554
430807 Fazenda Vilanova;2089;2005;4094
430810 Feliz;6660;6484;13144
430820 Flores da Cunha;14568;14628;29196
430825 Floriano Peixoto;1108;883;1991
430830 Fontoura Xavier;5635;5253;10888
430840 Formigueiro;3642;3453;7095
430843 Forquetinha;1309;1220;2529
430845 Fortaleza dos Valos;2268;2353;4621
430850 Frederico Westphalen;15167;15389;30556
430860 Garibaldi;16596;16534;33130
430865 Garruchos;1663;1557;3220
430870 Gaurama;2896;3020;5916
430880 General Câmara;4376;4291;8667
430885 Gentil;892;820;1712
430890 Getúlio Vargas;8184;8462;16646
430900 Giruá;8465;8734;17199
430905 Glorinha;3854;3665;7519
430910 Gramado;16817;17789;34606
430912 Gramado dos Loureiros;1174;1095;2269
430915 Gramado Xavier;2172;2044;4216
430920 Gravataí;133787;138470;272257
430925 Guabiju;822;792;1614
430930 Guaíba;48299;50728;99027
430940 Guaporé;12191;12319;24510
430950 Guarani das Missões;3950;4197;8147
430955 Harmonia;2346;2246;4592
430710 Herval;3702;3271;6973
430957 Herveiras;1613;1452;3065
430960 Horizontina;9488;9744;19232
430965 Hulha Negra;3313;3167;6480
430970 Humaitá;2465;2542;5007
430975 Ibarama;2295;2221;4516
430980 Ibiaçá;2370;2476;4846
430990 Ibiraiaras;3735;3705;7440
430995 Ibirapuitã;2145;2019;4164
431000 Ibirubá;10073;10165;20238
431010 Igrejinha;16708;17629;34337
431020 Ijuí;40464;42369;82833
431030 Ilópolis;2142;2067;4209
431033 Imbé;9730;10263;19993
431036 Imigrante;1580;1565;3145
431040 Independência;3353;3302;6655
431041 Inhacorá;1161;1159;2320
431043 Ipê;3353;3057;6410
431046 Ipiranga do Sul;1019;962;1981
431050 Iraí;4126;3896;8022
431053 Itaara;2721;2608;5329
431055 Itacurubi;1830;1720;3550
431057 Itapuca;1244;1077;2321
431060 Itaqui;19687;19404;39091
431065 Itati;1348;1255;2603
431070 Itatiba do Sul;2104;1889;3993
431075 Ivorá;1081;1056;2137
431080 Ivoti;10849;11161;22010
431085 Jaboticaba;2135;1980;4115
431087 Jacuizinho;1339;1305;2644
431090 Jacutinga;1851;1859;3710
431100 Jaguarão;13821;14488;28309
431110 Jaguari;5840;5749;11589
431112 Jaquirana;2139;2000;4139
431113 Jari;1953;1705;3658
431115 Jóia;4503;4157;8660
431120 Júlio de Castilhos;9941;10109;20050
431123 Lagoa Bonita do Sul;1468;1354;2822
431127 Lagoa dos Três Cantos;806;844;1650
431130 Lagoa Vermelha;14277;14154;28431
431125 Lagoão;3393;3098;6491
431140 Lajeado;38632;39858;78490
431142 Lajeado do Bugre;1312;1276;2588
431150 Lavras do Sul;3910;3923;7833
431160 Liberato Salzano;3017;2737;5754
431162 Lindolfo Collor;2924;2749;5673
431164 Linha Nova;839;865;1704
431171 Maçambará;2453;2372;4825
431170 Machadinho;2826;2822;5648
431173 Mampituba;1637;1448;3085
431175 Manoel Viana;3686;3668;7354
431177 Maquiné;3671;3369;7040
431179 Maratá;1350;1310;2660
431180 Marau;20018;20155;40173
431190 Marcelino Ramos;2550;2484;5034
431198 Mariana Pimentel;2071;1849;3920
431200 Mariano Moro;1111;1099;2210
431205 Marques de Souza;2125;2041;4166
431210 Mata;2611;2548;5159
431213 Mato Castelhano;1344;1226;2570
431215 Mato Leitão;2078;2123;4201
431217 Mato Queimado;909;890;1799
431220 Maximiliano de Almeida;2494;2371;4865
431225 Minas do Leão;3936;4072;8008
431230 Miraguaí;2502;2478;4980
431235 Montauri;784;771;1555
431237 Monte Alegre dos Campos;1767;1466;3233
431238 Monte Belo do Sul;1400;1305;2705
431240 Montenegro;31445;31773;63218
431242 Mormaço;1515;1429;2944
431244 Morrinhos do Sul;1633;1557;3190
431245 Morro Redondo;3295;3236;6531
431247 Morro Reuter;3063;3038;6101
431250 Mostardas;6548;6170;12718
431260 Muçum;2411;2579;4990
431261 Muitos Capões;1622;1511;3133
431262 Muliterno;962;932;1894
431265 Não-Me-Toque;8497;8499;16996
431267 Nicolau Vergueiro;898;861;1759
431270 Nonoai;6101;6197;12298
431275 Nova Alvorada;1740;1691;3431
431280 Nova Araçá;2159;2228;4387
431290 Nova Bassano;4877;4602;9479
431295 Nova Boa Vista;972;982;1954
431300 Nova Bréscia;1697;1631;3328
431301 Nova Candelária;1461;1350;2811
431303 Nova Esperança do Sul;2437;2607;5044
431306 Nova Hartz;9864;10174;20038
431308 Nova Pádua;1319;1242;2561
431310 Nova Palma;3334;3255;6589
431320 Nova Petrópolis;9985;10429;20414
431330 Nova Prata;12633;12425;25058
431333 Nova Ramada;1256;1185;2441
431335 Nova Roma do Sul;1837;1723;3560
431337 Nova Santa Rita;13052;12651;25703
431349 Novo Barreiro;2166;1998;4164
431339 Novo Cabrais;2057;2028;4085
431340 Novo Hamburgo;121426;127267;248693
431342 Novo Machado;1913;1919;3832
431344 Novo Tiradentes;1224;1099;2323
431346 Novo Xingu;887;906;1793
431350 Osório;21790;22105;43895
431360 Paim Filho;2076;2145;4221
431365 Palmares do Sul;5655;5757;11412
431370 Palmeira das Missões;17135;17837;34972
431380 Palmitinho;3656;3513;7169
431390 Panambi;20993;20152;41145
431395 Pantano Grande;4922;5009;9931
431400 Paraí;3713;3601;7314
431402 Paraíso do Sul;3859;3786;7645
431403 Pareci Novo;1914;1814;3728
431405 Parobé;27532;27955;55487
431406 Passa Sete;2877;2613;5490
431407 Passo do Sobrado;3205;3170;6375
431410 Passo Fundo;94597;102144;196741
431413 Paulo Bento;1172;1126;2298
431415 Paverama;4260;4176;8436
431417 Pedras Altas;1061;1137;2198
431420 Pedro Osório;3977;4032;8009
431430 Pejuçara;2086;1969;4055
431440 Pelotas;162301;180568;342869
431442 Picada Café;2800;2733;5533
431445 Pinhal;1358;1247;2605
431446 Pinhal da Serra;1167;959;2126
431447 Pinhal Grande;2386;2173;4559
431449 Pinheirinho do Vale;2454;2303;4757
431450 Pinheiro Machado;6524;6450;12974
431454 Pinto Bandeira;1470;1355;2825
431455 Pirapó;1377;1303;2680
431460 Piratini;10572;10142;20714
431470 Planalto;5381;5299;10680
431475 Poço das Antas;1072;1035;2107
431477 Pontão;2072;1915;3987
431478 Ponte Preta;940;787;1727
431480 Portão;17215;16783;33998
431490 Porto Alegre;691132;785734;1476866
431500 Porto Lucena;2677;2634;5311
431505 Porto Mauá;1277;1275;2552
431507 Porto Vera Cruz;876;855;1731
431510 Porto Xavier;5448;5313;10761
431513 Pouso Novo;950;895;1845
