 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2015 - Brasil;;;
População residente por Município e Sexo;;;
Período:2015;;;
Município;Masculino;Feminino;Total
172020 São Miguel do Tocantins;5816;5781;11597
172025 São Salvador do Tocantins;1558;1501;3059
172030 São Sebastião do Tocantins;2367;2289;4656
172049 São Valério;2155;2061;4216
172065 Silvanópolis;2695;2648;5343
172080 Sítio Novo do Tocantins;4715;4526;9241
172085 Sucupira;957;941;1898
172090 Taguatinga;8479;7756;16235
172093 Taipas do Tocantins;1089;1005;2094
172097 Talismã;1407;1332;2739
172110 Tocantínia;3725;3588;7313
172120 Tocantinópolis;11510;11631;23141
172125 Tupirama;961;818;1779
172130 Tupiratins;1302;1161;2463
172208 Wanderlândia;5952;5618;11570
172210 Xambioá;6089;5623;11712
210005 Açailândia;54938;54743;109681
210010 Afonso Cunha;3220;3130;6350
210015 Água Doce do Maranhão;6356;5901;12257
210020 Alcântara;10957;10703;21660
210030 Aldeias Altas;13405;12419;25824
210040 Altamira do Maranhão;5809;5803;11612
210043 Alto Alegre do Maranhão;13293;13056;26349
210047 Alto Alegre do Pindaré;16086;15200;31286
210050 Alto Parnaíba;5543;5409;10952
210055 Amapá do Maranhão;3455;3331;6786
210060 Amarante do Maranhão;20986;19391;40377
210070 Anajatuba;13719;13158;26877
210080 Anapurus;7650;7635;15285
210083 Apicum-Açu;9344;8603;17947
210087 Araguanã;7594;7427;15021
210090 Araioses;23311;21941;45252
210095 Arame;16891;15125;32016
210100 Arari;14567;14634;29201
210110 Axixá;6017;5834;11851
210120 Bacabal;48771;53883;102654
210125 Bacabeira;8199;8354;16553
210130 Bacuri;8734;8599;17333
210135 Bacurituba;2828;2684;5512
210140 Balsas;45779;46366;92145
210150 Barão de Grajaú;9178;9191;18369
210160 Barra do Corda;43188;42961;86149
210170 Barreirinhas;30838;29747;60585
210177 Bela Vista do Maranhão;5431;5497;10928
210173 Belágua;3825;3450;7275
210180 Benedito Leite;2851;2670;5521
210190 Bequimão;10576;10274;20850
210193 Bernardo do Mearim;2945;2956;5901
210197 Boa Vista do Gurupi;4632;4366;8998
210200 Bom Jardim;20656;20001;40657
210203 Bom Jesus das Selvas;17028;15870;32898
210207 Bom Lugar;8060;7799;15859
210210 Brejo;17870;17604;35474
210215 Brejo de Areia;4647;4523;9170
210220 Buriti;14087;13934;28021
210230 Buriti Bravo;11539;11837;23376
210232 Buriticupu;35535;34881;70416
210235 Buritirana;7666;7439;15105
210237 Cachoeira Grande;4611;4210;8821
210240 Cajapió;5444;5484;10928
210250 Cajari;9779;9167;18946
